ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for AARD. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.177998+00:00
ABAT,American Battery Technology Company - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,dcf: fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Import trusted fundamentals for ABAT. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.182008+00:00
ABBV,AbbVie,,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABBV.,2026-05-28T04:09:02.184873+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABCL. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.187629+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABEO.,2026-05-28T04:09:02.190659+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,dcf: shares_outstanding; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Import trusted fundamentals for ABLV. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.194165+00:00
ABNB,Airbnb,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABNB. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.197377+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABOS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.200296+00:00
ABSI,Absci Corporation - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABSI.,2026-05-28T04:09:02.203759+00:00
ABT,Abbott Laboratories,,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABT.,2026-05-28T04:09:02.207332+00:00
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",,"peer, earnings, analyst_estimates",portfolio,peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Add source-backed peer mappings and peer metrics for ABTC.,2026-05-28T04:09:02.210187+00:00
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Import trusted fundamentals for ABTS. If SEC_USER_AGENT is configured, use SEC staging; otherwise use the manual fundamentals import workflow.",2026-05-28T04:09:02.213059+00:00
