purpose_family,decision_bucket,total_count,active_universe_count,research_now_count,monitor_count,blocked_count,purpose_review_needed_count,data_unlock_first_count,peer_limited_count,fundamentals_limited_count,optional_context_locked_count,top_primary_blocker,top_unlock_command,top_next_research_question,sample_tickers,Reason
Compounder,Research Now,17,6,17,0,0,0,0,15,0,17,peers,make focus-peers TICKER=A,Open a ticker report for the next research question.,"A, AAL, AAOI, AAON, AAPL, ABBV, ABEO, ABSI",Compounder / Research Now summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
ETF / Hedge,Monitor,2,2,0,2,0,0,0,2,2,2,peers,make focus-peers TICKER=QQQ,Open a ticker report for the next research question.,"QQQ, SMH",ETF / Hedge / Monitor summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
Compounder,Blocked by Data,3451,2,0,0,3451,0,3451,3451,3451,3451,price,make focus-fundamentals TICKER=AACB,Open a ticker report for the next research question.,"AACB, AACI, AACO, ABAT, ABCL, ABLV, ABNB, ABOS",Compounder / Blocked by Data summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
Momentum,Research Now,1,1,1,0,0,0,0,0,0,1,earnings,make templates,Open a ticker report for the next research question.,NVDA,Momentum / Research Now summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
Broken / Avoid,Blocked by Data,62,1,0,0,62,0,62,62,62,62,fundamentals,make focus-fundamentals TICKER=AAPG,Open a ticker report for the next research question.,"AAPG, AARD, ABTS, ABVE, ACFN, ACGL, ACIC, ACOG",Broken / Avoid / Blocked by Data summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
Broken / Avoid,Research Now,5,0,5,0,0,0,0,5,0,5,peers,make focus-peers TICKER=AAME,Open a ticker report for the next research question.,"AAME, ABT, ABTC, ACAD, ACN",Broken / Avoid / Research Now summarizes current local decision and readiness rows; blocked context remains an input-unlock checklist.
